"species","endo","min_repro"
"agpe",1,1.00998394361219
"elri",1,1.93755992219254
"elvi",1,2.21699001078516
"fesu",1,2.00362468645888
"poal",1,1.58216481382153
"poau",1,1.44746617055272
"posy",1,1.68716096622589
"agpe",0,0.922547657809016
"elri",0,1.69685537706091
"elvi",0,1.34953345780223
"fesu",0,2.04672669343355
"poal",0,1.1701260853955
"poau",0,1.49469650500263
"posy",0,1.7133553972172
