"","draw","R0_em","R0_ep","G_em","G_ep","lambda_em","lambda_ep","lambda_em_vt","lambda_ep_vt","pRep_em","pRep_ep","La_em","La_ep","matlifexp_em","matlifexp_ep","meanelexp_em","meanelexp_ep","entropyd_em","entropyd_ep","entropyk_em","entropyk_ep","firstrepro_em","firstrepro_ep","isergodic","isirreducible","shape_surv_em","shape_surv_ep","shape_rep_em","shape_rep_ep","longevity_em","longevity_ep","species"
"1",NA,0.344835059627085,0.3655806706224,2.87562374030049,6.7583368473737,0.690564220294312,0.861661401707317,NA,NA,0.435851027768663,0.590134635971673,2,2,0.0218981296062919,0.830153804586498,2.02189812960629,2.8301538045865,1.39498641995437,1.75390937975375,NA,NA,1.35243515484785,2.02229160280187,TRUE,TRUE,0.0340720216270002,-0.111981633949156,0.294295454891003,0.333663685195812,8,17,"AGPE"
"2",NA,0.404544873408136,0.171032303387145,2.60458718519698,7.00177669475783,0.706479526714831,0.777083228370875,NA,NA,0.26608158405527,0.340695888347121,2,2,-0.531948105772875,-0.3134023385494,1.46805189422712,1.6865976614506,1.34184757801759,1.58299377017157,NA,NA,1.194139894552,1.53220289128303,TRUE,TRUE,-0.0677126712052575,-0.135044455193346,0.326541580235064,0.344346331955022,6,8,"AGPE"
"3",NA,0.138046354372949,0.123406330580365,4.47040334623652,6.73620001063,0.642139228967437,0.733006025006319,NA,NA,0.390900846903498,0.420415123368739,2,2,-0.129233607871411,-0.118928404067821,1.87076639212859,1.88107159593218,1.67419073181195,1.83913770288302,NA,NA,1.63000734797629,1.88865892946471,TRUE,TRUE,-0.0621290221380156,-0.0910103804992797,0.312880556199186,0.324400945338054,8,8,"AGPE"
"4",NA,0.165945894599886,0.133987680024685,3.10300897691196,3.71416228761237,0.560557661908092,0.582064607419387,NA,NA,0.311169303532472,0.35516265807856,2,2,-0.451893480443536,-0.345724357537841,1.54810651955646,1.65427564246216,1.61313636674709,1.50520246890216,NA,NA,1.23583114110151,1.48391421650389,TRUE,TRUE,-0.055609567123182,-0.0475832829612944,0.316950458545475,0.308050588859124,6,6,"AGPE"
"5",NA,0.194289263208148,0.186882823374819,2.7062206125271,3.59679847272377,0.545843691523671,0.62730400104399,NA,NA,0.335145011536961,0.42273709597833,2,2,-0.3831771907184,-0.126463533233638,1.6168228092816,1.87353646676636,1.57363421941437,1.75419351626666,NA,NA,1.29823239132408,1.7580800807113,TRUE,TRUE,-0.0197848578604291,-0.0310402305319036,0.303531672688689,0.300176617713497,6,7,"AGPE"
"6",NA,0.330078228302918,0.550627149899408,2.57873503517331,2.97303219730671,0.650617693203229,0.818155140849529,NA,NA,0.297237936451262,0.486867209472008,2,2,-0.421755090323573,0.159375705091687,1.57824490967643,2.15937570509169,1.37413266259412,1.45711513641844,NA,NA,1.27560337864536,1.51310568083252,TRUE,TRUE,-0.00494202994693083,-0.00497606333436029,0.305895437686916,0.289923726716686,6,8,"AGPE"
"7",NA,0.11839454687879,0.0917976575427844,2.8089820843242,2.69339482551697,0.467848563800395,0.412023051556619,NA,NA,0.312911468211279,0.288478476910556,2,2,-0.426482192400463,-0.575240263068133,1.57351780759954,1.42475973693187,1.40130358962885,1.15318193587935,NA,NA,1.32114029776698,1.6010739341964,TRUE,TRUE,-0.0162374973379721,0.00450256642540592,0.311004076819882,0.276073535788948,6,4,"AGPE"
"8",NA,0.147551846138343,0.209632170334226,3.27881163439866,3.70726109080067,0.55787594391883,0.656099098643598,NA,NA,0.354615862955565,0.425097859832481,2,2,-0.285684565580914,-0.0906315911518774,1.71431543441909,1.90936840884812,1.43944326177783,1.43965052633288,NA,NA,1.37361298208553,1.44090844149695,TRUE,TRUE,-0.0352594648332415,-0.049968353460059,0.310764882000576,0.318117656834016,7,8,"AGPE"
"9",NA,0.152924560876828,0.12767898298813,2.45977484277166,3.33257534685906,0.466075569026963,0.539230974638808,NA,NA,0.246014750818036,0.314652368226972,2,2,-0.602359375187625,-0.442813128896086,1.39764062481238,1.55718687110392,1.35424331151308,1.36689467585267,NA,NA,1.43051390473797,1.51366646801393,TRUE,TRUE,-0.0665044724430415,-0.0185138919689268,0.314958738674678,0.289125154484773,5,5,"AGPE"
"10",NA,0.0892354387736541,0.207202135099701,2.86798404408306,4.30763956125733,0.43060249591633,0.693911139450621,NA,NA,0.260272116483534,0.410809078587844,2,2,-0.543349140398757,-0.0459852898373518,1.45665085960124,1.95401471016265,1.59400241740585,1.54532157677303,NA,NA,1.41140532297595,1.67540148257823,TRUE,TRUE,-0.0368550232815239,-0.0626657773287284,0.327636228199678,0.324045013113088,6,9,"AGPE"
