"","R0_em","R0_ep","G_em","G_ep","lambda_em","lambda_ep","pRep_em","pRep_ep","La_em","La_ep","matlifexp_em","matlifexp_ep","meanelexp_em","meanelexp_ep","entropyd_em","entropyd_ep","entropyk_em","entropyk_ep","gini_em","gini_ep","longevity_em","longevity_ep","species"
"1",0.143697676877356,0.106729223808371,2.43228454724687,2.54059075435284,0.450398742193736,0.414498866026324,1,1,1,1,0.420498557848901,0.5385254126672,1.4204985578489,1.5385254126672,1.46160983775652,1.5025763368719,0.596000886472174,0.589727010471844,0,0,6,5,"AGPE"
"2",0.0695129731137186,0.142896862423834,2.17260752645592,2.94339401208673,0.293109725611078,0.51632619700401,1,1,1,1,0.21921611946338,0.433485297450553,1.21921611946338,1.43348529745055,1.21171965476046,1.35985295802535,0.412628114039711,0.519914902942158,0,0,4,4,"AGPE"
"3",0.164665965074203,0.138984761266251,2.22747670546268,4.24802689815525,0.444941918069288,0.628422254617465,1,1,1,1,0.282579467323846,0.757337098798078,1.28257946732385,1.75733709879808,1.43404839890919,1.62732150584572,0.508980170436934,0.65239662565134,0,0,5,7,"AGPE"
"4",0.146073275749049,0.0996220897129639,2.54846567738149,5.42384054905851,0.47009263591263,0.653620443059122,1,1,1,1,0.55300626365374,0.969595316584284,1.55300626365374,1.96959531658428,1.52236039639707,1.79244004267776,0.668721240082783,0.742470007079218,0,0,6,8,"AGPE"
"5",0.0727715498108854,0.164191818701983,2.22902940168044,5.13406364790252,0.308636065205875,0.703344574898402,1,1,1,1,0.236516006828086,1.56586285079543,1.23651600682809,2.56586285079543,1.26394676024989,1.90803621479851,0.423751701845073,0.829347766065181,0,0,4,11,"AGPE"
"6",0.079199110100128,0.124933305503609,2.2324437878659,3.46362517488606,0.32113911139225,0.548526478675889,1,1,1,1,0.182136044194708,1.03942787165951,1.18213604419471,2.03942787165951,1.3347100598573,1.69217584383036,0.387683969436556,0.721822705805693,0,0,4,8,"AGPE"
"7",0.493356448244683,0.36361088438169,2.64144975955981,3.69226455044472,0.765309007373353,0.760334032533034,1,1,1,1,0.743458858796586,1.42449071125997,1.74345885879659,2.42449071125997,1.61085777788429,1.96065325363108,0.764607008704057,0.767436590812029,0,0,7,9,"AGPE"
"8",0.0780227742640406,0.120304391762857,2.18130552480687,2.66543757145588,0.310562352427567,0.451800301920206,1,1,1,1,0.187389457418883,0.442431220934127,1.18738945741888,1.44243122093413,1.1850470853714,1.42546098591071,0.361707206388729,0.546787604703171,0,0,3,5,"AGPE"
"9",0.138970372159763,0.128398474591304,2.26539641600138,3.16653393789868,0.41847106066844,0.522974831909671,1,1,1,1,0.226507502938615,0.349604034911544,1.22650750293862,1.34960403491154,1.31872737411277,1.36091539433663,0.424030844261826,0.490648980967835,0,0,4,4,"AGPE"
"10",0.324085238567949,0.479883613418366,3.35554431528078,3.24913794673166,0.71477521814497,0.797741057682374,1,1,1,1,1.7748834842853,1.28976808393035,2.7748834842853,2.28976808393035,1.79122107575539,1.5494199311745,0.808767810441577,0.71943348344911,0,0,10,10,"AGPE"
"11",0.453326286549939,0.295578051141091,2.68546141669596,17.1205940943149,0.744827740048772,0.931284536758535,1,1,1,1,0.984734404066558,4.12513927010111,1.98473440406656,5.12513927010111,1.62895896109427,2.86392991131585,0.800378528613523,1.34398410232958,0,0,8,41,"AGPE"
"12",0.218915681980351,0.194221771792761,2.56936682793941,2.48282115549352,0.553649784229282,0.51683204643045,1,1,1,1,0.699548875028222,0.525691247451481,1.69954887502822,1.52569124745148,1.52089603876311,1.35981282788233,0.702676235779601,0.562555437082558,0,0,6,5,"AGPE"
"13",0.463742301287593,0.827131687096154,2.31331313428974,3.04752979045587,0.717361315907305,0.939622467627494,1,1,1,1,0.301455715900949,1.0595441545191,1.30145571590095,2.0595441545191,1.48653279697783,1.73800747742425,0.520728548342145,0.738368578957979,0,0,5,9,"AGPE"
"14",0.148081620765963,0.209551952209531,2.31525216761778,9.24926858451923,0.438252287993653,0.844540203697049,1,1,1,1,0.396664696670038,1.43784105547834,1.39666469667004,2.43784105547834,1.43388623303523,2.0736670184496,0.558449490576211,0.880180420322853,0,0,5,14,"AGPE"
"15",0.0810044082096456,0.0934023733481925,2.35387426601898,3.07020311700205,0.34379540199427,0.461991394561789,1,1,1,1,0.313588871015352,1.25156398701578,1.31358887101535,2.25156398701578,1.40518424601014,1.69372893102117,0.536906252959918,0.703914154925582,0,0,5,7,"AGPE"
"16",0.106028873462757,0.139105485740238,2.08210041895472,2.68111285593861,0.340350650733657,0.47916491571619,1,1,1,1,0.175095572350053,0.689028301491474,1.17509557235005,1.68902830149147,1.07438065837004,1.52329636856342,0.346017678538767,0.637013579714631,0,0,3,6,"AGPE"
"17",0.868337509882929,0.33546251318978,2.49853984494195,4.75234212319294,0.945063722388645,0.794666298057624,1,1,1,1,0.786998291687816,1.23635047079628,1.78699829168782,2.23635047079628,1.63149645180069,1.85292787051913,0.779589323998018,0.80256823976841,0,0,8,11,"AGPE"
"18",0.210041076347774,0.171397846386385,3.86028324439482,4.6904186060485,0.667488874161505,0.686577383530403,1,1,1,1,0.757009942755751,1.07774359068896,1.75700994275575,2.07774359068896,1.74180109997448,1.70858546448113,0.853007373090083,0.804589638799211,0,0,9,10,"AGPE"
"19",0.45097586791827,0.16147153394349,2.391690015983,2.40246394498545,0.716797564484072,0.468142846911766,1,1,1,1,0.622112775811182,0.546978138478795,1.62211277581118,1.54697813847879,1.56016318025383,1.37744473941007,0.687465327711115,0.568361600824707,0,0,6,5,"AGPE"
"20",0.176945089992442,0.236573685982955,1.91991687882569,2.63659011666681,0.405725464906258,0.578841140860948,1,1,1,1,0.181681728470125,0.585534166916776,1.18168172847012,1.58553416691678,1.10219543601435,1.51846016317664,0.353250139295791,0.627577706778728,0,0,3,6,"AGPE"
"21",0.232758333612137,0.154051020401601,2.3332721334774,3.35104935342743,0.535385441345322,0.572252564890468,1,1,1,1,0.398013873571122,0.619902625031911,1.39801387357112,1.61990262503191,1.47094681354994,1.42811425880463,0.576337989573612,0.612997852202892,0,0,5,6,"AGPE"
"22",0.139850254088586,0.0862837063537448,2.3862423513015,2.94487692885781,0.438504471958191,0.435181473420389,1,1,1,1,0.28641739648546,0.631566412785927,1.28641739648546,1.63156641278593,1.34365305307026,1.44077240659567,0.491943617268584,0.610369131853385,0,0,5,6,"AGPE"
